Park Name,Cause of Death
Lake Mead National Recreation Area,304
Grand Canyon National Park,185
Yosemite National Park,173
Natchez Trace Parkway,150
Golden Gate National Recreation Area,142
Great Smoky Mountains National Park,134
Blue Ridge Parkway,131
Glen Canyon National Recreation Area,121
Sequoia & Kings Canyon National Parks,91
New River Gorge National River,85
Cape Hatteras National Seashore,77
Mount Rainier National Park,74
Yellowstone National Park,70
Baltimore-Washington Parkway,69
Denali National Park & Preserve,65
Rocky Mountain National Park,65
Grand Teton National Park,64
Death Valley National Park,62
Gateway National Recreation Area,58
Zion National Park,56
Delaware Water Gap National Recreation Area,52
Chattahoochee River National Recreation Area,51
National Mall & Memorial Parks,50
Buffalo National River,49
George Washington Memorial Parkway,46
Suitland,46
Olympic National Park,45
Glacier National Park,42
Gulf Islands National Seashore,40
Shenandoah National Park,40
Virgin Islands National Park,39
Point Reyes National Seashore,38
Lake Roosevelt National Recreation Area,33
Upper Delaware Scenic & Recreational River,33
Chesapeake & Ohio Canal National Historical Park,32
Big Bend National Park,31
Joshua Tree National Park,31
Rock Creek Park,31
Colorado National Monument,29
Acadia National Park,29
Indiana Dunes National Park,28
Cuyahoga Valley National Park,28
Redwood National and State Parks,27
North Cascades National Park,26
Little River Canyon National Preserve,23
Cape Cod National Seashore,23
Ozark National Scenic Riverways,21
Curecanti National Recreation Area,20
Lake Meredith National Recreation Area,20
Saint Croix National Scenic Riverway,20
Canyonlands National Park,20
Mojave National Preserve,19
Saguaro National Park,19
Colonial National Historical Park,18
Presidio of San Francisco,18
Big South Fork National River and Recreation Area,17
Biscayne National Park,17
Padre Island National Seashore,16
Big Thicket National Preserve,16
Whiskeytown National Recreation Area,15
Everglades National Park,15
Great Falls Park,14
Haleakala National Park,14
Anacostia Park,14
Hawaii Volcanoes National Park,14
Channel Islands National Park,14
Assateague Island National Seashore,13
Arches National Park,13
Great Falls,13
Big Cypress National Preserve,12
Santa Monica Mountains National Recreation Area,12
Amistad National Recreation Area,11
Appalachian National Scenic Trail,11
Apostle Islands National Lakeshore,10
Crater Lake National Park,10
Dinosaur National Monument,10
Mammoth Cave National Park,10
Gauley River National Recreation Area,10
Canaveral National Seashore,10
Valley Forge National Historical Park,9
Wrangell - St Elias National Park & Reserve,9
Chickasaw National Recreation Area,9
Bighorn Canyon National Recreation Area,8
Harpers Ferry National Historical Park,8
Badlands National Park,8
Pictured Rocks National Lakeshore,8
Glacier Bay National Park & Preserve,7
Chickamauga & Chattanooga National Military Park,7
Cumberland Gap National Historical Park,7
Sleeping Bear Dunes National Lakeshore,7
Capitol Reef National Park,7
Organ Pipe Cactus National Monument,6
Fredericksburg & Spotsylvania National Military Park,6
Black Canyon Of The Gunnison National Park,6
Mount Rushmore National Memorial,6
National Capital Parks-East,6
Dry Tortugas National Park,6
Pinnacles National Park,6
Katmai National Park & Preserve,6
Sleeping Bear DunesNational Lakeshore,6
White Sands National Park,6
Clara Barton National Historic Site,6
Kennesaw Mountain National Battlefield Park,6
Cape Lookout National Seashore,6
Guadalupe Mountains National Park,6
Hot Springs National Park,5
Great Sand Dunes National Park & Preserve,5
Jean Lafitte National Historical Park & Preserve,5
Wilson's Creek National Battlefield,5
Fire Island National Seashore,5
Mesa Verde National Park,5
Saint Croix Island International Historic Site,5
Niobrara National Scenic River,4
Obed Wild & Scenic River,4
Independence National Historical Park,4
San Antonio Missions National Historical Park,4
Catoctin Mountain Park,4
Craters Of The Moon National Monument & Preserve,4
Voyageurs National Park,4
Wind Cave National Park,4
Missouri National Recreational River,4
Lassen Volcanic National Park,4
Lake Clark National Park & Preserve,4
Gettysburg National Military Park,3
El Malpais National Monument,3
Bandelier National Monument,3
San Francisco Maritime National Historical Park,3
Prince William Forest Park,3
Boston National Historical Park,3
Fort Dupont Park,3
Kenilworth Park & Aquatic Gardens,3
Richmond National Battlefield Park,3
Mississippi National River & Recreation Area,3
Coronado National Memorial,3
Manassas National Battlefield Park,3
Bryce Canyon National Park,3
Petroglyph National Monument,3
Petersburg National Battlefield,3
Piscataway Park,2
Little Bighorn Battlefield National Monument,2
Saratoga National Historical Park,2
First State National Historical Park,2
Scotts Bluff National Monument,2
Castillo De San Marcos National Monument,2
Theodore Roosevelt National Park,2
Isle Royale National Park,2
Golden Spike National Historical Park,2
Carlsbad Caverns National Park,2
Pea Ridge National Military Park,2
Fort Foote Park,2
George Washington Birthplace,2
Minute Man National Historical Park,2
Lincoln Memorial,2
Fort Pulaski National Monument,2
Morristown National Historical Park,2
Lowell National Historical Park,2
Fort Bowie National Historic Site,2
Yorktown Battlefield Part of Colonial National Historical Park,1
Lava Beds National Monument,1
Great Basin National Park,1
Statue Of Liberty National Monument,1
Cumberland Island National Seashore,1
American Memorial Park,1
Thomas Jefferson Memorial,1
Gila Cliff Dwellings National Monument,1
Hovenweep National Monument,1
Wupatki National Monument,1
Governors Island National Monument,1
Kaloko-Honokohau National Historical Park,1
Fort Vancouver National Historic Site,1
Walnut Canyon National Monument,1
Congaree National Park,1
Canyon De Chelly National Monument,1
Fort Washington Park,1
Lyndon B Johnson National Historical Park,1
Florissant Fossil Beds National Monument,1
Home Of Franklin D Roosevelt National Historic Site,1
Monocacy National Battlefield,1
Paterson Great Falls National Historical Park,1
Oxon Cove Park & Oxon Hill Farm,1
Pecos National Historical Park,1
Buck Island Reef National Monument,1
Friendship Hill National Historic Site,1
Greenbelt Park,1
Bluestone National Scenic River,1
Christiansted National Historic Site,1
President's Park (White House),1
Hopewell Culture National Historical Park,1
Prince William Forest,1
Glen Echo Park,1
Cabrillo National Monument,1
Eisenhower National Historic Site,1
Muir Woods National Monument,1
Klondike Gold Rush National Historical Park,1
Kings Mountain National Military Park,1
Allegheny Portage Railroad National Historic Site,1
San Juan Island National Historical Park,1
Devils Tower National Monument,1
El Morro National Monument,1
